CPT001|15100.00|500.00|2023-01-15|ACTIF
CPT002|C00001|EPARGNE|35000.00|0.00|2023-01-15|ACTIF
CPT003|C00002|COURANT|2500.00|1000.00|2023-02-20|ACTIF
CPT004|C00002|EPARGNE|15000.00|0.00|2023-02-20|ACTIF
CPT005|C00003|COURANT|18200.00|2000.00|2023-03-10|ACTIF
CPT006|C00003|EPARGNE|25000.00|0.00|2023-03-10|ACTIF
CPT007|C00004|COURANT|8900.00|500.00|2023-04-05|ACTIF
CPT008|C00005|COURANT|50000.00|5000.00|2023-05-12|ACTIF
CPT009|C00005|EPARGNE|100000.00|0.00|2023-05-12|ACTIF
CPT010|C00005|TERME|50000.00|0.00|2023-06-01|ACTIF
CPT011|C00006|COURANT|25000.00|1500.00|2023-06-15|ACTIF
CPT012|C00006|EPARGNE|45000.00|0.00|2023-06-15|ACTIF
CPT013|C00007|COURANT|12000.00|800.00|2023-07-20|ACTIF
CPT014|C00008|COURANT|35000.00|2500.00|2023-08-10|ACTIF
CPT015|C00008|EPARGNE|65000.00|0.00|2023-08-10|ACTIF
CPT016|C00009|COURANT|75000.00|3000.00|2023-09-05|ACTIF
CPT017|C00010|COURANT|8000.00|500.00|2023-10-12|ACTIF
