N00001 E00001 MAT001 15.50 2025-01-10
N00002 E00001 FR002  14.00 2025-01-12
N00003 E00001 ANG003 16.00 2025-01-15
N00004 E00002 MAT001 12.50 2025-01-10
N00005 E00002 FR002  13.00 2025-01-12
N00006 E00002 ANG003 14.50 2025-01-15
N00007 E00003 MAT001 18.00 2025-01-10
N00008 E00003 FR002  15.50 2025-01-12
N00009 E00003 ANG003 17.00 2025-01-15
N00010 E00004 MAT001 11.00 2025-01-10
N00011 E00004 FR002  12.50 2025-01-12
N00012 E00004 ANG003 13.00 2025-01-15
N00013 E00005 MAT001 14.00 2025-01-10
N00014 E00005 FR002  11.50 2025-01-12
N00015 E00006 MAT001 09.00 2025-01-10
N00016 E00007 FR002  16.00 2025-01-12
N00017 E00008 MAT001 17.50 2025-01-10
N00018 E00009 ANG003 15.00 2025-01-15
N00019 E00010 MAT001 13.00 2025-01-10
N00020 E00010 FR002  14.50 2025-01-12
N00021 E00011 MAT001 001450220260519
N00022 E00011 FR002  001300220260519
