T00001 CPT001 2025-01-10 00000500 DEPOT
T00002 CPT001 2025-01-15 00000200 RETRAIT
T00003 CPT003 2025-01-20 00001000 VIREMENT
T00004 CPT002 2025-01-25 00001500 DEPOT
T00005 CPT005 2025-01-30 00000300 RETRAIT
T00006 CPT001 2025-02-01 00000700 DEPOT
T00007 CPT003 2025-02-05 00000200 RETRAIT
T00008 CPT007 2025-02-08 00005000 DEPOT
T00009 CPT009 2025-02-10 00000800 RETRAIT
T00010 CPT011 2025-02-12 00002000 DEPOT
T00011 CPT002 2025-02-15 00001000 RETRAIT
T00012 CPT005 2025-02-18 00012000 DEPOT
T00013 CPT013 2025-02-20 00000300 RETRAIT
T00014 CPT001 2025-02-22 00015000 DEPOT
T00015 CPT015 2025-02-25 00003000 RETRAIT
T00016 CPT010 2025-03-01 00000200 DEPOT
T00017 CPT004 2025-03-05 00000500 RETRAIT
T00018 CPT006 2025-03-10 00002000 DEPOT
T00019 CPT008 2025-03-15 00001000 RETRAIT
T00020 CPT012 2025-03-20 00003000 DEPOT
T00021 CPT014 2025-03-25 00000500 RETRAIT
T00022 CPT001 2025-04-01 00000400 VIREMENT
T00023 CPT003 2025-04-05 00001500 DEPOT
T00024 CPT005 2025-04-10 00000700 RETRAIT
T00025 CPT007 2025-04-15 00002500 DEPOT
T00026 CPT009 2025-04-20 00000300 RETRAIT
T00027 CPT011 2025-04-25 00001000 DEPOT
T00028 CPT013 2025-05-01 00000200 RETRAIT
T00029 CPT015 2025-05-05 00005000 DEPOT
T00030 CPT002 2025-05-10 00003000 RETRAIT

T0000  CPT015 20260526   0000001000 DEPOT
T00000 CPT015 20260526   0000002000 RETRAIT
T00000 CPT014 20260526   0000040000 RETRAIT
T00000 CPT002 20260526   0000500000 VIREMEN
